ENSMUSG00000028180	Zranb2
ENSMUSG00000098557	Kctd12
MGI:3780555	Gm2387
ENSMUSG00000028937	Acot7
MGI:3037103	Mobe4
MGI:3648119	Gm7118
MGI:3648118	Gm6654
MGI:3648115	Gm6934
MGI:3648114	Gm7094
MGI:1932576	Akap12
MGI:1932575	Sp6
MGI:3648110	Rpl21-ps14
MGI:5589852	Gm30693
MGI:1921086	Slc35b2
MGI:1922268	4930473M17Rik
MGI:1921084	Atp6v1d
MGI:1921083	Fam98c
MGI:1921082	Klk9
MGI:5589854	Gm30695
MGI:1921080	Eif3k
MGI:1922262	4930500F10Rik
ENSMUSG00000047161	Chst9
MGI:106934	D10Mit304
MGI:1922261	4930488N24Rik
MGI:1922266	4930480K23Rik
MGI:1922267	4930470O06Rik
MGI:1922264	4930503B20Rik
MGI:106931	D10Mit301
MGI:3031213	Olfr1379-ps1
MGI:5594759	Gm35600
MGI:5594727	Gm35568
ENSMUSG00000065543	Mir330
MGI:5434371	Gm21016
MGI:3646775	Gm9315
MGI:5594751	Gm35592
MGI:5594750	Gm35591
MGI:5594757	Gm35598
MGI:5594756	Gm35597
MGI:5594755	Gm35596
MGI:1923079	Prame
ENSMUSG00000085887	Arhgap27os3
ENSMUSG00000085886	D030047H15Rik
MGI:3646777	Gm8378
MGI:5595283	Gm36124
MGI:5594282	Gm35123
MGI:3646776	Gm4779
ENSMUSG00000085889	1700054M17Rik
MGI:1921559	Osbp2
MGI:3030867	Olfr1033
MGI:3030864	Olfr1030
MGI:3030865	Olfr1031
ENSMUSG00000029919	Hpgds
ENSMUSG00000029918	Mrps33
MGI:3030860	Olfr1026
MGI:3030861	Olfr1027-ps1
ENSMUSG00000029915	Clec5a
MGI:1921553	1700109K24Rik
ENSMUSG00000029916	Agk
MGI:1921555	1700111N16Rik
ENSMUSG00000029910	Mad2l1
ENSMUSG00000029913	Prdm5
MGI:1921556	Prss46
MGI:5622568	Gm39683
MGI:5595927	Gm36768
MGI:5010616	Gm18431
MGI:1922199	4930477E14Rik
ENSMUSG00000027215	Cd82
MGI:1922194	Qtrtd1
MGI:1922195	Acss2os
MGI:5622562	Gm39677
MGI:1922197	Kif4-ps
MGI:1922190	4930474A20Rik
MGI:1922191	4930503H13Rik
MGI:1922192	4930503O07Rik
MGI:5010610	Gm18425
MGI:1924691	9430099M06Rik
MGI:1924690	9430087N24Rik
MGI:1924692	9530020I12Rik
MGI:1924695	9530015I06Rik
MGI:5010613	Gm18428
MGI:1924697	9430096G21Rik
MGI:1924696	Heg1
MGI:1924699	9530007D14Rik
ENSMUSG00000006179	Prss16
ENSMUSG00000095105	Edaradd
ENSMUSG00000095104	Esp15
MGI:2155345	Col26a1
MGI:3647588	Gm9197
MGI:5595921	Gm36762
MGI:101903	Klra5
MGI:3647581	Tmem178b
MGI:1914864	Atp6v1h
MGI:5595391	Gm36232
MGI:2442440	Efcab5
MGI:3647585	Gm9194
MGI:101900	Mmp14
MGI:3646682	Rpl13-ps3
MGI:5623233	Gm40348
MGI:3643699	Gm6872
MGI:3643698	Gm8056
MGI:101901	Klra7
ENSMUSG00000035273	Hpse
MGI:3643691	Gm4839
ENSMUSG00000043262	Uevld
MGI:3643693	Gm8054
MGI:1923378	5830495A06Rik
ENSMUSG00000043267	Olfr1031
MGI:5594181	Gm35022
MGI:1916697	1700027A13Rik
MGI:1919527	1700030F18Rik
MGI:1919526	1700025M24Rik
MGI:1919525	2200002D01Rik
MGI:1919524	1700027H10Rik
MGI:1919523	Smim24
MGI:1315192	Lrrc23
MGI:1919521	1700026N04Rik
MGI:5594150	Gm34991
MGI:5010861	Gm18676
MGI:1315193	D6Mm3e
ENSMUSG00000026047	Kdelc1
MGI:5623925	Gm41040
MGI:5624075	Gm41190
MGI:1924044	Man2c1os
MGI:5594152	Gm34993
ENSMUSG00000034226	Rhov
MGI:5591282	Gm32123
MGI:1923373	Gpsm2
MGI:3852469	Vmn1r-ps133
ENSMUSG00000026843	Fubp3
MGI:3705184	Gm15423
ENSMUSG00000079773	LOC100862220
MGI:3781416	Gm3238
MGI:3705187	Gm15226
MGI:3648809	Scgb2b19
MGI:1923371	5830485P09Rik
MGI:3705182	Gm15328
MGI:3705183	Gm15247
MGI:3648805	Gm8389
MGI:3648804	Gm6811
MGI:3648807	Mcidas
MGI:3648806	Gm6292
MGI:3648801	Gm6757
MGI:3648800	Igkv1-132
MGI:3648803	Gm6291
ENSMUSG00000044533	Rps2
MGI:5622277	Gm39392
ENSMUSG00000034435	Tmem30b
MGI:4413780	n-TCgca13
ENSMUSG00000034430	Zxdc
ENSMUSG00000034432	Cops8
MGI:5433921	Gm21757
MGI:3852462	Vmn1r-ps130
ENSMUSG00000034438	Gbp8
MGI:5433922	Gm21758
MGI:5625244	Gm42359
MGI:1926029	Spata2l
ENSMUSG00000074011	Gm7682
MGI:3646182	Gm9385
MGI:3646183	Gm9149
MGI:3646180	Gm6361
MGI:5579735	Gm29029
MGI:1926020	Arl14ep
MGI:1926021	Mctp1
MGI:1926022	Hhipl2
MGI:1926023	4930511E03Rik
MGI:1926024	Cfap61
MGI:3646188	Gm9148
MGI:1926027	Enthd2
MGI:5433926	Gm21762
MGI:3705238	Gm15130
ENSMUSG00000041272	Tox
MGI:3705236	Gm14850
MGI:3705237	Gm11554
MGI:3705234	Gm14862
MGI:3705235	Mup19
MGI:3705233	Gm15217
MGI:3705230	Gm15293
MGI:5590910	Gm31751
MGI:100424	D5Mit292
MGI:100422	D5Mit294
MGI:5591351	Gm32192
ENSMUSG00000036875	Dna2
MGI:5579165	Gm28459
MGI:100429	D5Mit287
MGI:5591408	Gm32249
MGI:108217	D13Rp4
MGI:2153518	Dmbx1
MGI:108211	Cirbp-rs3
MGI:5592396	Gm33237
MGI:108212	Ripk1
MGI:4413705	n-TAtgc3
ENSMUSG00000053914	Kdm4d
MGI:5590913	Gm31754
ENSMUSG00000053916	Nanp
ENSMUSG00000017723	Wfdc2
MGI:5590125	Gm30966
MGI:1916278	Mitd1
MGI:1916279	Smdt1
MGI:5590120	Gm30961
MGI:5590121	Gm30962
MGI:5011586	Gm19401
ENSMUSG00000017724	Etv4
MGI:1916270	Zfp707
ENSMUSG00000009356	Lpo
MGI:3031152	Olfr1318
ENSMUSG00000009350	Mpo
MGI:1916274	Snx15
MGI:1916275	1500032P08Rik
MGI:5591501	Gm32342
MGI:5624996	Gm42111
MGI:107697	Usp17le
MGI:1261829	D2Ertd501e
MGI:5591500	Gm32341
MGI:1261825	D11Ertd540e
MGI:1261827	Dnmt3a
MGI:1855700	Pcdh12
MGI:1855701	Zpbp
MGI:1261823	D14Ertd574e
ENSMUSG00000046338	Gpat2
ENSMUSG00000015474	Ppt2
MGI:105123	Gucy2e
MGI:5591401	Gm32242
ENSMUSG00000078816	Prkcg
ENSMUSG00000046321	Hs3st2
MGI:5593517	Gm34358
MGI:1927643	Rsph6a
ENSMUSG00000015478	Rnf5
ENSMUSG00000078810	Gp6
MGI:5591504	Gm32345
MGI:1343481	D5Buc22
ENSMUSG00000095339	Zscan4b
MGI:100954	D15Mit221
MGI:1915354	Inafm2
MGI:2139767	AI606473
ENSMUSG00000099751	1700022A22Rik
MGI:105127	Sui1-rs4
MGI:2662975	Sbmd1
ENSMUSG00000065549	Mir200b
MGI:3704363	Gm10322
MGI:3642250	Igkv8-30
MGI:3642251	Igkv8-28
MGI:3642256	Gm10006
MGI:1891254	Bag2
MGI:1913578	Scp2d1
MGI:1913579	Susd3
MGI:1913576	Dnajc5b
MGI:1913575	1700008H02Rik
MGI:1913572	Krt88
MGI:1913573	1700001K19Rik
MGI:1913570	Tmem208
MGI:1913571	1700008B11Rik
ENSMUSG00000050296	Abca12
ENSMUSG00000075165	Olfr1105
MGI:1341908	Uhmk1
MGI:1341909	Ly96
MGI:2148258	Taar1
MGI:3650510	Gm11579
ENSMUSG00000075164	Olfr1106
MGI:1341902	Ccr9
MGI:1341903	Slc23a1
MGI:1341900	Olfr64
MGI:1341901	211N06F
MGI:1341906	Olfr66
MGI:1341907	Fjx1
MGI:1341904	335F15F
MGI:1341905	5Sp6
MGI:1343489	Mpdz
MGI:3041248	BC026600
ENSMUSG00000075166	Olfr1104
ENSMUSG00000097619	4833422M21Rik
MGI:2138688	C80142
ENSMUSG00000097616	1110019D14Rik
MGI:3041240	G630055G22Rik
MGI:3041241	G630064G18Rik
MGI:3041246	Bach2os
MGI:3041247	BC024978
MGI:3037766	A530010L16Rik
ENSMUSG00000075160	Olfr259
ENSMUSG00000029684	Wasl
ENSMUSG00000075163	Olfr1107
MGI:3650582	Gm12418
MGI:5622008	Gm39123
MGI:5010197	Gm18012
MGI:2443416	Fbxl13
ENSMUSG00000041138	Nme8
MGI:4413813	n-TCgca46
MGI:5623613	Gm40728
ENSMUSG00000041130	Zfp598
ENSMUSG00000041133	Smc1a
ENSMUSG00000041132	N4bp2l1
ENSMUSG00000041135	Ripk2
ENSMUSG00000041134	Cyyr1
ENSMUSG00000040919	4930505A04Rik
ENSMUSG00000075169	Olfr1098
ENSMUSG00000016921	Srsf6
ENSMUSG00000075168	Olfr1099
MGI:3030080	Olfr246-ps1
MGI:3030081	Olfr247
MGI:3031159	Olfr1325
MGI:3030084	Olfr250
MGI:3030085	Olfr251
MGI:3030086	Olfr252-ps1
MGI:3030088	Olfr254-ps1
MGI:3030089	Olfr255
MGI:5595349	Gm36190
MGI:3612791	Kir3dl2
ENSMUSG00000097237	Gm26519
ENSMUSG00000101578	Vmn1r206
MGI:3031158	Olfr1324
MGI:5621511	Gm38626
MGI:5624336	Gm41451
ENSMUSG00000048782	Insc
MGI:5590918	Gm31759
MGI:5434239	Gm20883
ENSMUSG00000058600	Rpl30
MGI:3721638	Tbqt7
ENSMUSG00000064925	Snora62
MGI:5434231	Gm20875
MGI:5434230	Gm20874
ENSMUSG00000090346	Vmn1r5
MGI:5434235	Gm20879
MGI:5434234	Gm20878
MGI:5434237	Gm20881
MGI:2442521	Cep295
MGI:2445126	Zcchc11
ENSMUSG00000055401	Fbxo6
MGI:3651647	Cela3a
MGI:106218	Capza1-ps2
MGI:3651641	Gm12740
MGI:1914107	Plbd1
MGI:1914104	Trim35
ENSMUSG00000055407	Map6
MGI:106213	Chrna6
MGI:106212	Chrnb3
MGI:106211	Cdc42
MGI:106210	Dmbt1
MGI:106217	Cacna1e
MGI:106216	Tcra-V16.1
MGI:106215	Aqp5
MGI:106214	Jrk
MGI:92773	D4Mit148
MGI:3040198	Cocia7
MGI:92770	D4Mit145
MGI:92777	D4Mit151
MGI:3040191	Lscc3
MGI:3040190	Lscc2
MGI:92778	D4Mit152
MGI:3040195	Cocia4
MGI:2442520	C130062D02Rik
MGI:3040197	Cocia6
MGI:3040196	Cocia5
ENSMUSG00000051527	Usp29
MGI:5624334	Gm41449
ENSMUSG00000101574	1700112H15Rik
MGI:1338759	Sec22b
MGI:1338758	Adnp
MGI:1338757	Trim10
MGI:1338756	Theg
MGI:1338755	Rnd2
MGI:1338754	Defb2
ENSMUSG00000051528	Olfr424
MGI:5623886	Gm41001
MGI:5621952	Gm39067
ENSMUSG00000109160	LOC102634128
MGI:2675303	Tnfrsf14
ENSMUSG00000057050	Olfr397
MGI:5012259	Gm20074
ENSMUSG00000048787	Dcun1d3
ENSMUSG00000054939	Zfp174
MGI:5012252	Gm20067
MGI:5622287	Gm39402
MGI:5012257	Gm20072
MGI:5012256	Gm20071
MGI:5012255	Gm20070
MGI:5012254	Gm20069
MGI:1289219	D16Ertd727e
MGI:5313094	Gm20647
MGI:5011209	Gm19024
MGI:3782024	Gm3852
MGI:3031350	Olfr1516-ps
MGI:1289211	D4Ertd681e
MGI:1289213	D3Ertd751e
ENSMUSG00000045678	Olfr1489
MGI:2147434	Nmrk1
ENSMUSG00000040770	Il25
ENSMUSG00000040771	Oard1
ENSMUSG00000046201	Scaf8
ENSMUSG00000040774	Cept1
MGI:3043083	Prmt8
MGI:103722	T(2;12)47Dn
MGI:3721634	Tbqt3
MGI:2685897	A330070K13Rik
MGI:2140726	Guf1
ENSMUSG00000100194	Tgif2lx2
ENSMUSG00000056174	Col8a2
MGI:5010905	Gm18720
MGI:5625105	Gm42220
MGI:1917487	Bhlhb9
ENSMUSG00000096220	Olfr775
MGI:1917485	Poc1a
MGI:1917483	Cd2bp2
MGI:1917480	3300002P13Rik
MGI:3721635	Tbqt4
MGI:1917488	Rnf168
MGI:90536	D16Mit64
ENSMUSG00000076163	Mir701
MGI:2442951	Zfp574
MGI:5434013	Gm21849
MGI:2442524	Heatr1
ENSMUSG00000057802	Gm10030
ENSMUSG00000057801	Olfr135
MGI:2148533	Vmn1r-ps27
MGI:3033850	Defb42
ENSMUSG00000057805	1700084M14Rik
MGI:98634	Tcrg-V4
MGI:98635	Tcrg-V5
MGI:98636	Tcrg-V6
MGI:98637	Tcrg-V7
MGI:98630	Tcrg-V
MGI:98631	Tcrg-V1
MGI:98632	Trgv2
MGI:98633	Tcrg-V3
MGI:2148535	Vmn1r-ps34
ENSMUSG00000025265	Fgd1
ENSMUSG00000025264	Tsr2
MGI:98638	tct1
MGI:98639	tct2
ENSMUSG00000025261	Huwe1
ENSMUSG00000025260	Hsd17b10
MGI:93918	D7Mit102
MGI:93919	D7Mit103
MGI:5010907	Gm18722
MGI:3780631	Gm2464
ENSMUSG00000070529	Wfdc10
ENSMUSG00000094337	LOC665290
MGI:5624504	Gm41619
ENSMUSG00000094338	Hist1h2bl
MGI:93912	D7Mc1
MGI:93913	D7Mc2
MGI:5624500	Gm41615
MGI:5624501	Gm41616
ENSMUSG00000091129	Iqcf6
MGI:93917	D7Mit101
MGI:2683538	Lyrm4
MGI:103180	Tcf19
MGI:3644218	Rpl19-ps6
ENSMUSG00000060131	Atp8b4
MGI:89054	D11Mit168
MGI:89055	D11Mit169
MGI:89050	D11Mit164
MGI:89051	D11Mit165
MGI:5010906	Gm18721
MGI:101290	D10Mit230
ENSMUSG00000047205	Dusp18
MGI:101297	D10Mit223
ENSMUSG00000047207	Olfr1495
MGI:101298	D10Mit222
MGI:101299	D10Mit221
MGI:1890413	Bwq3
MGI:3691601	Nhil5
MGI:1890410	Acss2
MGI:3047352	Gbrln
MGI:2387466	Pank4
ENSMUSG00000097972	Scgb2b15
ENSMUSG00000067780	Pi15
ENSMUSG00000067786	Nnat
ENSMUSG00000067787	Blcap
MGI:5595430	Gm36271
MGI:5434226	Gm20870
MGI:5579606	Gm28900
ENSMUSG00000053279	Aldh1a1
MGI:2177626	Tlag2
MGI:3643963	Gm6951
MGI:3643812	Gm5241
MGI:3782959	Gm15511
MGI:1309468	Casq1
MGI:3644263	Gm8648
MGI:2443161	D730035F11Rik
MGI:1341158	Fcnb
MGI:3644262	Gm15454
ENSMUSG00000068323	Slc4a5
MGI:1919246	Fthl17a
MGI:2668940	Fcsa6
ENSMUSG00000068329	Htra2
ENSMUSG00000068328	Aup1
MGI:1341157	Sox30
MGI:3644264	Vmn1r142
MGI:5530953	Mir8110
MGI:5530952	Mir7068
MGI:5530951	Mir7673
MGI:3641908	Gm10073
MGI:5530957	Mir8091
MGI:2138605	Rabif
MGI:5530955	Mir7687
MGI:3718574	Mir883a
MGI:3781636	Gm3460
MGI:5530959	Mir7088
MGI:3643814	Gm4841
MGI:3643936	Gm8828
MGI:5625248	Gm42363
ENSMUSG00000064493	Snora28
ENSMUSG00000063445	Nmral1
ENSMUSG00000064496	DQ267101
ENSMUSG00000063447	Ube2d2b
ENSMUSG00000063446	Plppr1
ENSMUSG00000076946	Mir582
ENSMUSG00000096307	n-R5s104
MGI:5624713	Gm41828
ENSMUSG00000087579	1500017E21Rik
MGI:3781637	Vmn1r-ps46
MGI:5434019	Gm21855
MGI:5010902	Gm18717
MGI:5590579	Gm31420
MGI:3641901	Gm10748
MGI:3780610	Gm2443
MGI:5591043	Gm31884
MGI:5579241	Gm28535
MGI:1931457	Cblc
ENSMUSG00000046997	Spsb4
ENSMUSG00000063885	Gm6498
ENSMUSG00000070609	Gm13177
MGI:3605455	Acaa1b
ENSMUSG00000040009	Gnaz
MGI:5591355	Gm32196
ENSMUSG00000096304	Gm16451
ENSMUSG00000040006	Ginm1
MGI:3529674	Stzid2
MGI:3705619	Gm14885
ENSMUSG00000040007	Bahd1
MGI:3573933	Serpinb3a
ENSMUSG00000019932	Kera
ENSMUSG00000019933	Mrln
ENSMUSG00000019935	Slc17a8
ENSMUSG00000019936	Epyc
MGI:5010493	Gm18308
MGI:3643636	Pramel
MGI:3779934	Gm9525
MGI:5010490	Gm18305
MGI:2144377	Tns4
MGI:3779933	Topaz1
ENSMUSG00000070469	Adamtsl3
MGI:2144374	AU015555
ENSMUSG00000064145	Arih2
ENSMUSG00000020346	Mgat1
ENSMUSG00000064147	Rab44
ENSMUSG00000070464	Ccl26
ENSMUSG00000064141	Zfp69
ENSMUSG00000070462	Mesdc1
ENSMUSG00000103770	Pcdha9
MGI:1298223	Naip1
ENSMUSG00000053490	Trim60
MGI:2177509	Olfr126
MGI:97114	Mpmv43
MGI:97115	Mpmv44
MGI:90320	D15Mit40
MGI:90321	D15Mit41
MGI:90326	D15Mit46
MGI:2140875	AI429363
MGI:90324	D15Mit44
MGI:97113	Mpmv42
MGI:5578758	Scgb2b8-ps
ENSMUSG00000107476	Zfp862-ps
ENSMUSG00000063240	Olfr133
ENSMUSG00000108025	Gm36503
MGI:4413834	n-TQctg10
ENSMUSG00000075569	Rsph10b
MGI:2385852	Tifab
ENSMUSG00000043289	Mei4
MGI:2385850	Nomo1
MGI:3583306	Raxos1
ENSMUSG00000054723	Vmac
ENSMUSG00000054720	Lrrc8c
MGI:3782142	Obox4-ps11
ENSMUSG00000054727	1700013H16Rik
MGI:2442137	A530060M17Rik
MGI:3046214	Pfat2
ENSMUSG00000079806	Gm21719
MGI:3644634	Oaz2-ps
MGI:3705701	Gm14881
MGI:3644633	Gm5805
MGI:2681269	Tas2r125
MGI:3644631	Gm7715
MGI:1100819	Aff1
MGI:1100818	Crcp
MGI:2681264	Tas2r123
MGI:2681262	Tas2r122
MGI:3644638	Gm8247
MGI:3644639	Gm8246
ENSMUSG00000036744	Olfr701
ENSMUSG00000036745	Ttll7
MGI:2140095	C85699
MGI:1334419	Cd5l
ENSMUSG00000099257	Mir6342
ENSMUSG00000036743	Psma8
ENSMUSG00000099259	Mir6922
ENSMUSG00000099258	Mir7047
MGI:1334416	Grpel2
MGI:1334417	Grpel1
ENSMUSG00000036748	Cuedc2
MGI:2685972	Susd5
ENSMUSG00000096209	Olfr510
MGI:3045221	Tlr12
MGI:4360990	Gm16523
MGI:2388365	Otop2
MGI:2388363	Otop1
MGI:3045226	Tlr11
MGI:2388361	Gldn
MGI:5010307	Gm18122
ENSMUSG00000093763	Mir5626
MGI:5593165	Gm34006
MGI:5593164	Gm34005
MGI:5593167	Gm34008
MGI:5593166	Gm34007
MGI:5593161	Gm34002
MGI:5593160	Gm34001
MGI:5593163	Gm34004
