14QII26	SNORD114-26,SNORD114-26
ULK3	ULK3
VPATPD	ATP6V0D1,ATP6V0D1
ERBA2	THRB,THRB
ERBA1	THRA,THRA
CDC2L	CDK13,CDK13
RABGAP1L	RABGAP1L
L18MT	MRPL18,MRPL18,MRPL18
TRGC1	TRGC1
MIS12	MIS12
TRGC2	TRGC2
MIS14	NSL1,NSL1
RN5S56	RNA5SP56,RNA5SP56
ULK4	ULK4
COTE1	FAM189B,FAM189B
CPETRL3	CLDN10,CLDN10
CPETRL2	CLDN7,CLDN7,CLDN7
CPETRL1	CLDN5,CLDN5
SNORD36B	SNORD36B
CRCS10	POLD1,POLD1
LRDD	PIDD
CRCS12	POLE,POLE
MED12L	MED12L
MED12S	MED12,OPA1,MED12
TSC510	NAT8,GLA,NAT8
ELK1	ELK1
HSAMIR489	MIR489,MIR489,MIR489
HSAMIR488	MIR488,MIR488,MIR488
LMF1AS1	LA16c-366D3.1
MIR4684	MIR4684
HSAMIR485	MIR485,MIR485,MIR485
HSAMIR484	MIR484,MIR484,MIR484
HSAMIR487	MIR487A,MIR487A,MIR487A
HSAMIR486	MIR486
HSAMIR483	MIR483,MIR483,MIR483
GPHB5	GPHB5
NP55	NPTN,NPTN
CREAP1	LUC7L3,LUC7L3
LSAMP	LSAMP
NXF2	NXF2
NXF3	NXF3
FAF1	FAF1
PGM5	PGM5
FAF2	FAF2
PGM1	PGM1
NOF1	MRPL49,MRPL49,MRPL49
PGM3	PGM3
ZFYAS	ZFY-AS1
SKMLCK	MYLK2,MYLK2
STQTL9	HMGA2,HMGA2
NAG22	CALD1,CALD1
SBK2	SBK2
SBK3	SBK3
SBK1	SBK1
RBM8A	RBM8A
DJ71D212	METTL24,METTL24
TMPRSS9	TMPRSS9
SDCCAG16	UTP14A,UTP14A
CDC27	CDC27
CDC26	CDC26
CDC25	CDC25C,RASGRF1
TJ6S	ATP6V0A2,ATP6V0A2
HOXD12	HOXD12
HOXD13	HOXD13
CDC21	MCM4,MCM4
CDC20	CDC20
SHBG	SHBG
RNA5SP358	RNA5SP358
INO80M	ACTR5,ACTR5
FAM150A	FAM150A
TJ6M	ATP6V0A2,ATP6V0A2
FAM150B	FAM150B
BTKL	TXK,TXK
LIN53	RBBP4,RBBP4
LIN52	LIN52
SSX4B	SSX4B
NMOR1	NQO1,NQO1
NMOR2	NQO2,NQO2
HSPDE9A2	PDE9A,PDE9A
MYNN	MYNN
L1MT	MRPL1,MRPL1,MRPL1
SMOX	SMOX
RNU613P	RNU6-13P
RN7SKP74	RN7SKP74
OSTB	SLC51B,SLC51B
RPL35A	RPL35A
DILC	TFDP1,TFDP1
LINC00584	MEG9,MEG9
ZUC	PLD6,PLD6
LINC00587	LINC00587
PCDH3X	PCDHB16,ME1,PCDHB16
ZUD	UNC5CL,UNC5CL
LINC00583	LINC00583
MYST1	KAT8,KAT8
LINC00588	LINC00588
MDC15	ADAM15,ADAM15
MGC45012	TRAF2,TRAF2
PLCZETA1	PLCZ1,PLCZ1
DNAHC3B	DNAH3
RN7SKP75	RN7SKP75
CSHP1	CSHL1,CSHL1
GCN1L1	GCN1L1
DPGM	BPGM,BPGM
TRNL1	MT-TL1,MT-TL1
PPP1R12A	PPP1R12A
PPP1R12B	PPP1R12B
TRNL2	MT-TL2,MT-TL2
LINC01187	CTB-27N1.1
PPP1R124	PHACTR4,PHACTR4
PPP1R125	PHRF1,PHRF1
PPP1R126	PKMYT1,MYT1,PKMYT1
PPP1R127	PLCL1,PLCL1
PPP1R120	PCDH7,PCDH7
PPP1R121	PCIF1,PCIF1
PPP1R122	PFKM,PFKM
PPP1R123	PHACTR3,PHACTR3
SEK1	MAP2K4,MAP2K4
PGPEP1L	PGPEP1L
RNU6433P	RNU6-433P
SLOX1	OLR1,OLR1
PPP1R129	PREX2,PREX2,PREX2
GFG1	NUDT6
RNU6797P	RNU6-797P
TTTY2	TTTY2
S152LPFS2	CD27,CD27
OR2A25	OR2A25
MVB12A	MVB12A
NRG1IT2	NRG1-IT2
SLIL2	SLIT3,SLIT1,SLIT3,SLIT2,SLIT3
SLIL1	SLIT1,SLIT1,SLIT3,SLIT1
IF3MT	MTIF3,MTIF3
BCAP31	BCAP31
VPS30	BECN1,BECN1
IGLV657	IGLV6-57
VPS35	VPS35
VPS34	PIK3C3
BCAP37	PHB2,PHB2
VPS36	VPS36
VPS39	VPS39
VPS38	UVRAG,UVRAG
MDC1C	FKRP,FKRP
MDC1D	LARGE,LARGE
SAN	NAA50,NAA50
P37	HNRNPD,CD8B,CCNH,UBXN2B,NUP37
TAS2R43	TAS2R43
TAS2R42	TAS2R42
TAS2R41	TAS2R41
PACPL1	ACP6,ACP6
MACS1	ACSM1,ACSM1
MRG2	MEIS3
TAS2R44	TAS2R31,TAS2R31
NMORI	NQO1,NQO1
RN7SKP20	RN7SKP20
TAS2R49	TAS2R20,TAS2R20
HMGIY	HMGA1,HMGA1
DIL1	SPON2
RN7SKP24	RN7SKP24
FB19	PPP1R10,PPP1R10
DIL2	TPX2
KCTD3	KCTD3
KCTD2	KCTD2
PI3KC2A	PIK3C2A,PIK3C2A
DXF68S1E	HDHD1
KCTD7	KCTD7
KCTD6	KCTD6
KCTD5	KCTD5
KCTD4	KCTD4
HIVE1	CCNT1,CCNT1
KCTD8	KCTD8
NEDD41	NEDD4,RPF1,NEDD4
NEDD42	NEDD4L
VISC	LINC00461,LINC00461
VISA	MAVS,MAVS
UDPGT2B8	UGT2B15,UGT2B15
UDPGT2B9	UGT2B7,UGT2B7
PFET1	KCTD12,KCTD12
UDPGT2B4	UGT2B4,UGT2B11,UGT2B4
GLTSCR1L	GLTSCR1L
UDPGT2B7	UGT2B7,UGT2B7
TSA806	ANKRD7,ANKRD7
NAV19	SCN11A,SCN11A
NAV18	SCN10A,SCN10A
HERVV2	ERVV-2,ERVV-2
RNY4P19	RNY4P19
RNY4P18	RNY4P18
YNL026W	SAMM50,SAMM50
NAV11	SCN1A,SCN1A
PXR	NR1I2,NR1I2
NAV13	SCN3A,SCN3A
NAV12	SCN2A
NAV15	SCN5A,SCN5A
NAV14	SCN4A
NAV17	SCN9A,SCN9A
NAV16	SCN8A,SCN8A
PXK	PXK
SLC38A10	SLC38A10
ADMCKD1	MUC1,MUC1,PEMT,MUC1
PXN	PXN
DRW10	HLA-DRB3,HLA-DRB1
HLGA	GLS2,GLS,GLS2
DFNB7	TMC1,TMC1
CI15K	NDUFS5
PXF	PEX19,PEX19
PXE	ABCC6,ABCC6
ESF1	ESF1
HSD15	RNF32,RNF32
PX3	PANX3,PANX3
SCYB4V1	PF4V1,PF4V1
LIG4S	LIG4,LIG4
DCAL	AHCYL1,AHCYL1
EX070	EXOC7,EXOC1,EXOC7
TCRGV	CD3G
ECSCR	ECSCR
RN7SL101P	RN7SL101P
HSAMIR877	hsa-mir-877
HEL36	DNAH3,DNAH3
PNTSU	DCXR,DCXR
ACA53	SNORA53,SNORA53
D5S346	REEP5,REEP5
VIS2	TRGV2,TRGV2
BRAP	BRAP
USPL1	USPL1
CX303	GJB4,GJB4
USPL2	CYLD,CYLD
UPF3X	UPF3B,UPF3B
MIR660	MIR660
ARGEF15	ARHGEF15,ARHGEF15
NEDD4L	NEDD4L
UPF3A	UPF3A
GBD4	ABCG8,ABCG8
EJM6	CLCN2,CACNB4
EJM7	GABRD,GABRD
GBD1	ABCB4,ABCB4
EJM5	GABRA1,GABRA1
BRAK	CXCL14,CXCL14
CAS1	BCAR1,BCAR1
EJM8	CLCN2,CLCN2
IFITM10	IFITM10
DFNB84A	PTPRQ,PTPRQ
DFNB84B	OTOGL,OTOGL
PP7704	CHTOP,CHTOP
PP7706	HMG20B,HMG20B
CAS3	EFS,EFS
ARIP4	RAD54L2,RAD54L2
ARIP3	PIAS2,PIAS2
ARIP2	SYNJ2BP,SYNJ2BP
ARIP1	MAGI2,ACTRT1
P493F12	MAPK10,MAPK10
RNU236P	RNU2-36P
TTTY4A	TTTY4,TTTY4
FBX8	FBXO8,FBXO8
TAPT1AS1	TAPT1-AS1
DRS1	ECI2,DDX27
DJ1	PARK7
CTRP9	C1QTNF9,C1QTNF9
DJ3	DNAJA2,DNAJA2
DJ2	DNAJA1,DNAJA1
PCDHGAMMAA10	PCDHGA10,PCDHGA10
DJ4	DNAJB6,DNAJB6
PCDHGAMMAA12	PCDHGA12,PCDHGA12
DJ6	DNAJB8,DNAJB8
CXORF2	SLITRK2,TEX28P2,TEX28,TEX28P1
ADAM29	ADAM29
ZFYVE10	MTMR3,MTMR3
ZFYVE11	MTMR4,MTMR4
ZFYVE16	ZFYVE16
ZFYVE17	WDFY1,WDFY1
CXORF4	MED14,MED14
CXORF5	OFD1,OFD1
TENB2	TMEFF2,TMEFF2
HG11	APLNR,APLNR
RNU6254P	RNU6-254P
PTS1R	PEX5,PEX5
HG16	OR1L6,OR1K1,OR1L6
FBX5	FBXO5,FBXO31,FBXO5
KCHIP4	KCNIP4,KCNIP4
THY1	THY1
TARDBP	TARDBP
KCHIP1	KCNIP1,KCNIP1
CRA361	MPG,MID1,MPG
KCHIP3	KCNIP3,KCNIP3
KCHIP2	KCNIP2,KCNIP2
DJS	ABCC2,ABCC2
JCTN	ASPH,ASPH
BA67K191	ASTN2,ASTN2
NATD1	C17orf103
HSP90B2P	TRAP1
LINC00379	LINC00379
IL1RALPHA	IL1R1,IL1R1
MIR137HG	MIR137HG
TNS3	TNS3
RNU1149P	RNU1-149P
HUMANS18B	MRPS18A,MRPS18A
FBX2	FBXO2,FBXO2
MIR4498	MIR4498
TNS2	TENC1
CSNK2A1P	CSNK2A3,CSNK2A3
RN5S432	RNA5SP432,RNA5SP432
P54ASAPK	MAPK9,MAPK9
TRAF3IP1	TRAF3IP1
HTRA4	HTRA4
RN5S433	RNA5SP433,RNA5SP433
IT11	GRK4,GRK4
DXS540	CHM,CHM
IT15	HTT,HTT
FAM15A	SAMD15,SAMD15
RNU6146P	RNU6-146P
DP103	DDX20,DDX20
SKP1A	SKP1,SKP1
ZNF571AS1	ZNF571-AS1
ANGPTL7	ANGPTL7
BA311H101	NOL6,NRAP,NOL6
ANGPTL5	ANGPTL5
ANGPTL4	ANGPTL4
ANGPTL3	ANGPTL3
ANGPTL2	ANGPTL2
ANGPTL1	ANGPTL1
LINC00372	LINC00371,LINC00371
MASPIN	SERPINB5,SERPINB5
SMGB	SAMD4B,SAMD4B
RNU6925P	RNU6-925P
LINC00371	LINC00371
ANGPTL8	C19orf80
MMP14	MMP14
MMP15	MMP15
MMP16	MMP16
MMP17	MMP17
MMP10	MMP10
MMP11	MMP11
MMP12	MMP12
MMP13	MMP13
RNU6573P	RNU6-573P
MIP1B1	CCL4,CCL4
NAA60	NAA60
MMP18	MMP19,MMP19
MMP19	MMP19
GPIBBETA	GP1BB,GP1BB
PEDFR	PNPLA2,PNPLA2
RN5S438	RNA5SP438,RNA5SP438
PEBP2AB	RUNX1,RUNX1
RN5S439	RNA5SP439,RNA5SP439
PEBP2AA	RUNX2,RUNX2
HSAMIR507	MIR507,MIR507,MIR507
IFFO2	IFFO2
BCR1	BCR,BCR
TXNRD2	TXNRD2
RNU61009P	RNU6-1009P
K222TA2	TIMP3,TIMP3
C9ORF52	TTC39B,TTC39B
CMD1AA	ACTN2,ACTN2
TRC3	TERC,TERC
PRAX1	BZRAP1
MIRN768	SNORD71,SNORD71
MIRN769	MIR769,MIR769,MIR769
BT21	BTN2A1,BTN2A1
BT22	BTN2A2,BTN2A2
MIRN767	MIR767,MIR767,MIR767
MIRN760	MIR760,MIR760,MIR760
ZC2HC10	ST18,ST18
DJ477O44	C20orf173,C20orf173
CDAN1	CDAN1
BCRP	ABCG2,ABCG2
CDAN4	KLF1,KLF1
KCNK18	KCNK18
KCNK16	KCNK16
KCNK17	KCNK17
KCNK14	KCNK15,KCNK15
KCNK15	KCNK15
KCNK12	KCNK12
KCNK13	KCNK13
KCNK10	KCNK10
P24BETA1	TMED2,TMED2
MMACHC	MMACHC
BRKS2	PLOD2,PLOD2
BRKS1	FKBP10,FKBP10
HCCR1	LETMD1,BRI3BP
HSAMIR501	MIR501,MIR501,MIR501
HCCR2	LETMD1,BRI3BP
TRCA	TRAC,TRAC
FRUITLESS	ZBTB22,ZBTB22
HSAMIR744	MIR744,MIR744,MIR744
ALDHIII	ALDH3A1,ALDH3A1
SIR2ALPHA	SIRT1,SIRT1
ASTML	ASMTL,ASMTL
TCN1	TCN1
TCN3	GIF,GIF
TCN2	TCN2
PJCG4	OR52B1P,OR52B1P
ZKSCAN23A	ZFP69,ZFP69
KRTAP93	KRTAP9-3
6M11	OR2B3,OR2B3
ACA59	ACA59
RN7SL154P	RN7SL154P
CELF2AS1	CELF2-AS1
RN7SL733P	RN7SL733P
KRTAP97	KRTAP9-7
HDNB1	UBE4B,UBE4B
FAM163A	FAM163A
ASTP2	METTL18,METTL18
KRTAP94	KRTAP9-4
RNU6678P	RNU6-678P
GPRC5D	GPRC5D
TSC4	TSC2,TSC2
TSC5	TGFB1I1,TGFB1I1
TSC2	TSC2
HSAMIR617	MIR617,MIR617
GPRC5C	GPRC5C
TSC1	TSC1
CLS1	CRLS1,CRLS1
H3F3	H3F3A,H3F3A
PP1226	ABHD11,ABHD11
PP1221	CNTROB,CNTROB
PRGR1	SFT2D1,SFT2D1
CALPAIN4	CAPNS1,CAPNS1
CELF2AS2	CELF2-AS2
FM4	NMUR2
CALPAIN7	CAPN7,CAPN7
FM3	NMUR1
DNLC2B	DYNLRB2,DYNLRB2
HELO1	ELOVL5,ELOVL5
BHLHA23	TCF21,TCF21
DCSCRIPT	ZNF366,ZNF366
PJA923	TSPY1,TSPY1
CLSP	CALML5,CALML5
CLSS	LRP4,LRP4,LRP10,LRP4
H3FT	HIST3H3,HIST3H3
MIR4490	MIR4490
HY4B7	RNY4P2,RNY4P2
HY4B8	RNY4P1,RNY4P1
ADPG	MPG,MID1,MPG
FMS	CSF1R,CSF1R,CSF1R
CPOX	CPOX
HHF7	SLC16A1,SLC16A1
HHF4	HADH,HADH
HHF5	INSR,INSR
HHF2	KCNJ11,KCNJ11
HHF3	GCK,GK,GCK
LPPR5	LPPR5
HHF1	ABCC8,ABCC8
FMF	MEFV,MEFV
H3FH	HIST1H3G,HIST1H3G
FMD	FLNA,FLNA,FLNA
H3FJ	HIST1H3J,HIST1H3J
H3FM	HIST2H3C,HIST2H3C
H3FL	HIST1H3B,HIST1H3B
ATG10AS1	ATG10-AS1
H3FN	HIST2H3C,HIST2H3C
RIOK2	RIOK2
RIOK3	RIOK3
RIOK1	RIOK1
TNRC11L	MED12L,MED12L
RNU6101P	RNU6-101P
KIAA0415	AP5Z1,AP5Z1
CMSTA3	ALG2,ALG2
UNQ5792	CLEC2A,CLEC2A
BANF1	BANF1
BANF2	BANF2
COPG2IT1	COPG2IT1
VPAC2R	VIPR2,VIPR2,VIPR2
LPPAS2	LPP-AS2
AHSP	AHSP
GPR60	TAS2R40,TAS2R40
CMT4B2	SBF2,SBF2
HPDHASE	PECR,PECR
DXS206	DMD,DMD
SKCA3	KCNN3,KCNN3
SKCA2	KCNN2
SKCA1	KCNN1,KCNN1
DHX40	DHX40
VLA5A	ITGA5,ITGA5
MIR365A	MIR365A
BMP2B1	BMP4,BMP4
AHSG	AHSG
HSAMIR1324	MIR1324,MIR1324
IIDS6411	C2orf66,C2orf66
WIPI49	WIPI1,WIPI1
RN7SL606P	RN7SL606P
CH50742P115	LINC00313,LINC00313
GPR61	GPR61
NOXA2	NCF2,NCF2,NCF2
DXP1	IGHD3-9,IGHD3-10
RN7SL478P	RN7SL478P
HST829	TCEB3C,TCEB3C
HST828	TCEB3CL,TCEB3CL
MM46	GABARAP,GABARAP
AKR7	AKR7A2,AKR7A2
TMEM210	TMEM210
IL3R	IL3RA,IL3RA
IGKV139	IGKV1-39
IGKV137	IGKV1-37
IGKV133	IGKV1-33
PRIPR	PTGIR,PTGIR
RN7SKP47	RN7SKP47
RNMT1	TRDMT1,TRDMT1
SHISA3	SHISA3
ZNFP104	ZNF195,ZNF195
C1QTNF3	C1QTNF3
IL37	IL37
IL34	IL34
IL32	IL32
IL33	IL33
IL30	IL27,IL27,IL27
HP1HSGAMMA	CBX3,CBX3
PSL3	HM13,HM13
PSL2	SPPL2A,IMP3,SPPL2A
PSL1	SPPL2B,IMP4,IMP4,SPPL2B
HPPAR	PPARA,PPARA
IL38	IL1F10,IL1F10
PSL4	SPPL3,SPPL3
ORCTL4	SLC22A14,SLC22A14
NKPD1	NKPD1
NOT56L	ALG3,ALG3
PHE1B	PDHB,PDHB
PHE1A	PDHA1,PDHA1
P	B3GALNT1,OCA2
ARPP21	ARPP21
SNORA7A	SNORA7A
TYRO10	DDR2,TKT,DDR2
ANK2	ANK2
HASH1	ASCL1,ASCL1
PTPIP51	RMDN3,RMDN3
HASH2	ASCL2,ASCL2
CAMK2N2	CAMK2N2
CAMK2N1	CAMK2N1
D1S155E	CSDE1,CSDE1
WSTF	BAZ1B,BAZ1B
ZNF	ZNF44,ZNF629,ZNF436,ZNF569,ZNF501,ZNF763
MTRNR2L13	MTRNR2L13
RAB9P40	RABEPK,RABEPK
HUMS6PKH1	RPS6KC1,RPS6KC1
MTRNR2L11	MTRNR2L11
RN5S244	RNA5SP244,RNA5SP244
PBRIP	BZRAP1
MTRNR2L10	MTRNR2L10
PHLPP	PHLPP1,PHLPP1
XKR9	XKR9
SEPM	SELM
HYOU1	HYOU1
HSAMIR550A2	MIR550A2,MIR550A2,MIR550A2
SEPA	ESPL1,ESPL1
NMELV	NME1-NME2,NME1-NME2
C14ORF43	ELMSAN1,ELMSAN1
C14ORF42	ACOT6,ACOT6
AMAC1	CCL18,SLC35G3
GTSF1L	GTSF1L
C14ORF47	TC2N,TC2N
C14ORF46	LIN52,LIN52
C14ORF45	CCDC176
C14ORF44	FAM161B,FAM161B
SEPP	SEPP1,SELP,SEPP1
SEPR	MSRB1,MSRB1
C14ORF48	LINC00521,LINC00521
OCAIA	TYR,TYR
SRP38	SRSF10,SRSF10
SPRL6A	LCE3D,LCE3D
HM13IT1	HM13-IT1
PHLP3	TXNDC9,PDCL3
DDH1	AKR1C1,C9,AKR1C1
DDH2	AKR1C2,AKR1C2
PRED28	N6AMT1,N6AMT1
OR930	OR1L6,OR1K1,OR1L6
OR931	OR5C1,OR5C1
NPIPB6	NPIPB6
AMACO	VWA2,VWA2
RNVU115	RNVU1-15
AOS1	ARHGAP31,SAE1
AMACR	AMACR
AOS3	RBPJ,RBPJ,RBPJ
AOS2	DOCK6,DOCK6
AOS5	NOTCH1,HN1,NOTCH1
AOS4	EOGT,EOGT
AOS6	DLL4,DLL4
SEP1	SEPT1,XRN1
SEP2	SEPT6,SEPT8,SEPT2
SEP3	SEPT3,SEPT3
SEP4	SEPT4,SEPT4
KBP1	HIVEP3
XTES	XKR3,XKR3
VCX2	VCX2
ZNF600	ZNF600
TLH29	IFI27L2,IFI27L2
AZU1	AZU1
OATP8	SLCO1B3,LST3
SAYSD1	SAYSD1
C20ORF84	DZANK1,DZANK1
BRUNOL3	CELF2,CELF2
ERAP1	ERAP1
C20ORF87	DEFB129,DEFB129
C20ORF80	FRG1B
MSEMA	SEMA4F,SEMA4F
PLA2G1R	PLA2R1,PLA2R1
RNVU117	RNVU1-17
C20ORF88	DTD1,HARS2,DTD1
BRUNOL1	CELF3,CELF3
NMRK1	NMRK1
GRB14	GRB14
TCRBV20S1	TRBV20-1,TRBV20-1,TRBV20-1
TCRBV20S2	TRBV20OR9-2,TRBV20OR9-2
PLA2G1B	PLA2G1B
PKK2	ANKK1,ANKK1
UNQ26	DNER,DNER
DGCRK3	GNB1L,GNB1L
BRUNOL6	CELF6,CELF6
DDX58	DDX58
DDX59	DDX59
BRUNOL5	CELF5
ZNF163	GFI1,GFI1,GFI1
ZNF162	SF1,SF1
ZNF161	VEZF1,VEZF1
BRUNOL4	CELF4,CELF4,CELF4
DDX56	DDX56
ZNF166	ZNF197,ZNF20,ZNF197
ZNF165	ZNF165
DDX55	DDX55
GATM	GATM
MIR5692C1	MIR5692C1
DENN	MADD,MADD
ANXA8	ANXA8
SEPN1	SEPN1
ACA67B	SNORA80B,SNORA80B
GATA	QRSL1,QRSL1
GATB	PET112
GATC	GATC
C6ORF204	CEP85L,CEP85L
GAT8	EHMT2,EHMT2
PCANR1	PCAT6,PCAT6
C6ORF205	C6orf205
GAT4	SLC6A11,SLC6A11
DEN1	SENP8,SENP8
RET1L	GFRA1,GFRA1
GAT1	SLC6A1,SLC6A1
GAT2	SLC6A13,SLC6A12
GAT3	SLC6A13,SLC6A11
GLCT1	MGAT1,UGCG
MIR4305	MIR4305
GLCT3	B3GALNT1,B3GALNT1
GLCT2	B3GALT2,B3GALT2
GLCT5	B3GALT5,B3GALT5
FXR2P	FXR2,FXR2
PAR6B	PARD6B,PARD6B
PAR6C	PARD6A,PARD6A
PAR6A	PARD6A,PARD6A
PAR6G	PARD6G,PARD6G
OR4F11P	OR4F17,OR4F17
C6ORF201	C6orf201
EGLN3	EGLN3
PLA2G15	PLA2G15
PLA2G16	PLA2G16
DNAH1	DNAH1
DNAH6	DNAH6
DNAH7	DNAH7
PLA2G12	PLA2G12A,PLA2G12A
DNAH5	DNAH5
DNAH8	DNAH8
DNAH9	DNAH9
PKKD	KLKB1,KLK3,KLKB1
RPS6KA2AS1	RPS6KA2-AS1
HPTPDELTA	PTPRD,PTPRD
MT5MMP	MMP25,MMP24
HBII342	SNORD61,RNU6-1,SNORD61
TIGD3	TIGD3
IFRG15	IFRG15
BSX1	BSX,BSX
ATP6V1E	ATP6V1E1,ATP6V1E1
HTR1D2	HTR1B,HTR1B
KIAA0963	SBNO2,SBNO2
D1S3362	S1PR1,S1PR1
C6ORF208	LINC00574,LINC00574
SASS4	CENPJ,CENPJ,CENPJ
LAG1	CCL4L1,CCL4,CERS1
LAG2	GNLY
LAG3	LAG3
HSD17B11	HSD17B11
BA402L13	ZNF32-AS3,ZNF32-AS3
RN7SL97P	RN7SL97P
SULT6B1	SULT6B1
RASL10A	RASL10A
C17ORF73	LINC00483,LINC00483
FBXW8	FBXW8
HTRP1	TRPC1,TRPC1
C17ORF70	C17orf70
C17ORF77	C17orf77
HSD17B14	HSD17B14
C17ORF75	C17orf75
HTRP4	TRPC4
V290M	PPOX,PPOX
C17ORF79	COPRS,COPRS
C17ORF78	C17orf78
ZAG4	DSCAM-IT1,DSCAM-IT1
CMTDI1	DNM2,DNM2
MOP4	UBA6,NPAS2
CMTDI3	MPZ,CHM,MPZ
MIRN9411	MIR941-1,MIR941-1,MIR941-1
SPDYE2	SPDYE2
OR8K1	OR8K1
OR8K3	OR8K3
DJ331H241	OGFRL1,OGFRL1
OR8K5	OR8K5
MOP6	NPAS3,NPAS3
KCND3S	KCND3,KCND3
CMTDIC	YARS,YARS
CMTDIB	DNM2,DNM2
CMTDIE	INF2,INF2
CMTDID	MPZ,CHM,MPZ
RNU6394P	RNU6-394P
HSAMIR32	MIR32,MIR32,MIR32
GNB5	GNB5
GNB4	GNB4
EFO2	ESCO2,ESCO2
GNB1	GNB1
C20ORF85	C20orf85
GNB3	GNB3
GNB2	GNB2
F22329_1	CYP4F12,CYP4F12
RNU6548P	RNU6-548P
OPN1LW	OPN1LW
DTD	SLC26A2,NQO1
FOXB2	FOXB2
RNA5SP366	RNA5SP366
KCND3L	KCND3,KCND3
SCNB3	SCN3B,SCN3B
RNU6580P	RNU6-580P
CR3A	ITGAM,ITGAM
RNU110P	RNVU1-1,RNVU1-10,RNVU1-1
LAGY	HOPX,HOPX
MIRN100	MIR100,MIR100,MIR100
HTR1DA	HTR1D,HTR1D
HTR1DB	HTR1B,HTR1B
PARD3A	PARD3,ASIP,PARD3,PARD3
PARD3B	PARD3B
CSTF64	CSTF2,CSTF2
RNU61086P	RNU6-1086P
ELP1	KDELR2,IKBKAP
C13ORF25	MIR17HG,MIR17HG
TGFBR3	TGFBR3
TBC1D10B	TBC1D10B
SHIK	STK40,STK40
UBE2QL1	UBE2QL1
TNEM67	TMEM67,TMEM67
CRP40	HSPA9,HSPA9
MRP1	MSH3,MDM4,CD9,ABCC1
TIGD2	TIGD2
GTF2A1	GTF2A1
GTF2A2	GTF2A2
DTR	PPP1R42,HBEGF
D6S60E	STK19,RP1,STK19
UBE3AAS1	SNHG14,SNHG14
IL18BP	IL18BP
DSPC3	TMEM91,TMEM91
SPG9B	ALDH18A1,ALDH18A1
D16S2531E	SNTB2,SNTB2
FOAP11	C15orf48,C15orf48
RPR	EXTL3,EXTL3
FAM77A	NKAIN4,NKAIN4
FAM77B	NKAIN2,NKAIN2
SPINLW1	EPPIN,EPPIN
HSAMIR1203	MIR1203,MIR1203
RPX	HESX1,HESX1
ARGBP2	SORBS2,SORBS2
HSAMIR1200	MIR1200,MIR1200
HRVP1	CLDN3,CLDN3
HSAMIR1205	MIR1205,MIR1205
RPA	RPA1,RPA1
RPC	PPP2CA,RTCA
BCM1	CD48,CD48
RPE	RPE
MIRN1051	MIR105-1,MIR105-1,MIR105-1
RPI	RPIA,RPIA
CYPIVB1	CYP4B1,CYP4B1
RPK	PKLR,PKLR
RNU6403P	RNU6-403P
DOP1	DOPEY1,DOPEY1
BNSP	SPP1,IBSP
RP1	RP1
RP3	RPGR,EBF3,MAPRE3,DYNLT3
RP2	RP2
RP4	RHO,RHO
RP7	PRPH2,PRPH,ROM1
RP9	RP9
RP8	PDCD2,PDCD2
SNORD105B	SNORD105B
BCMO	BCMO1
PSHK2	ABCB6,ABCB6
BTN2A2	BTN2A2
BCMS	DLEU1,DLEU2,DLEU1
MIRN10B	MIR10B,MIR10B,MIR10B
CALD1	CALD1
CCDC148AS1	CCDC148-AS1
HSPC274	TMEM230,TMEM230
HSPC275	SEC31A,SEC31A
HSPC276	HBS1L,HBS1L
PRO0618	SORBS2,SORBS2
HSPC270	MSRB1,MSRB1
MLC1F	MYL1,MYL1
CDCP1	CDCP1
NUP62CL	NUP62CL
CSTF1	CSTF1
MCM21R	CENPO,CENPO,CENPO
CSTF3	CSTF3
CSTF2	CSTF2
HSAMIR76412	BATF
OLFR42B	OR2H2,OR2H2
MLC1V	MYL3,MYL3
BM029	ARID1A,ARID1A
KVLA2788	TMEM81,TMEM81
LC3C	MAP1LC3C,MAP1LC3C
BPTF	BPTF
NOXEF1	DUOX1,DUOX1
NOXEF2	DUOX2,DUOX2
SYMPK	SYMPK
MTJ1	DNAJC1,DNAJC1
KIZUNA	PLK1S1
HEL206	C12orf40,C12orf40
TNMD	TNMD
USH2D	DFNB31,DFNB31
ADGRV1	GPR98
RNU61339P	RNU6-1339P
COQ6	COQ6
OPCA3	ATXN7,ATXN7
A28RGS14	RGS16,RGS16
RN7SL804P	RN7SL804P
PROGRP	GRP,GRP
SERPINC1	SERPINC1
ANKRD18B	ANKRD18B
HAP2G	TFAP2C,TFAP2C
IFTA1	WDR35,WDR35
CLN7	MFSD8,MFSD8
IGKJ1	IGKJ1
CLN5	CLN5
IGKJ3	IGKJ3
CLN3	CLN3
CLN2	TPP1,TPP1,TPP1
CLN1	PPT1,PPT1
C2K	CDK9,CDK9
MIR519A2	MIR519A2
HSAMIR582	MIR582,MIR582
1G5	CAMKV,CAMKV
EEG1	SLC43A3,CAPRIN2
CLN8	CLN8
C23	NCL,NCL
FVL	F5,F5
SNORA19	SNORA19
SNORA18	SNORA18
CDZFP	NFXL1,NFXL1
ANKRD18A	ANKRD18A
SNORA15	SNORA15
YLAT1	SLC7A7
SNORA17	SNORA17
BCKDE1B	BCKDHB,BCKDHB
CLNK	CLNK
ACSM2A	ACSM2A
ACSM2B	ACSM2B
SNORA12	SNORA12
RN5S477	RNA5SP477,RNA5SP477
SDR33C1	QDPR,QDPR
RNU61053P	RNU6-1053P
