RNF14	Rnf14
TMEM150B	Tmem150b
RIC1	Ric1
RNF111	Rnf111
TCEA2	Tcea2
TCEA3	Tcea3
TCEA1	Tcea1
RNU135P	Gm23303
COX4I2	Cox4i2
COX4I1	Cox4i1
BFAR	Bfar
ZC3H18	Zc3h18
SNORD45	Snord45b
RNU7169P	Gm23779
TMEM212	Tmem212
CRTAM	Crtam
EDA	Eda
OR6P1	Olfr414
CCDC116	Ccdc116
CADPS2	Cadps2
CCDC114	Ccdc114
CCDC115	Ccdc115
CCDC112	Ccdc112
CCDC113	Ccdc113
CCDC110	Ccdc110
MEI4	Mei4
LEO1	Leo1
MTCL1	Mtcl1
ATP1A4	Atp1a4
ATP1A3	Atp1a3
ATP1A2	Atp1a2
ATP1A1	Atp1a1
TMEM211	Tmem211
TMEM213	Tmem213
MGRN1	Mgrn1
TCP1	Tcp1
CRTAP	Crtap
CBLC	Cblc
SPHK1	Sphk1
DPT	Dpt
CUEDC1	Cuedc1
CUEDC2	Cuedc2
CBLB	Cblb
IGKV3D15	Igkv18-36
CPEB4	Cpeb4
SKIDA1	Skida1
IGKV3D11	Igkv18-36
CPEB3	Cpeb3
CPEB2	Cpeb2
BEGAIN	Begain
RN7SKP139	Gm24893
RBMXL3	Rbmxl2
OSGEP	Osgep
RNU61274P	Gm22502
ABAT	Abat
TMEM210	Tmem210
RNU466P	Gm22098
ZNF780A	Zfp59,Zfp60,Zfp607a,Zfp607b,Zfp626,Zfp780b,Zfp850,Zfp974
TLN2	Tln2
BBOX1	Bbox1
NSRP1	Nsrp1
FRG1	Frg1
RNU637P	Gm25512
FRG2	AA415398
RHEBL1	Rhebl1
RNU6539P	Gm25258
IFT80	Ift80
IFT81	Ift81
TAF1D	Taf1d
IFT88	Ift88
IL10RA	Il10ra
XPC	Xpc
POU5F1B	Pou5f1
TMEM217	Tmem217
SP1	Sp1
RP11385D131	Fbxw10
SP2	Sp2
CNTF	Cntf
MCM10	Mcm10
NUP93	Nup93
IGFBPL1	Igfbpl1
SP5	Sp5
ATG4C	Atg4c
ATG4B	Atg4b
ATG4A	Atg4a,Atg4a-ps
THUMPD2	Thumpd2
ATG4D	Atg4d
PHOX2A	Phox2a
PHOX2B	Phox2b
LRGUK	Lrguk
UPK2	Upk2
CFH	Cfh,Cfhr1,Cfhr2,Gm4788
CFI	Cfi
PNP	Pnp,Pnp2
ANKFY1	Ankfy1
CFB	Cfb,Gm20547
OR5P3	Olfr480,Olfr508
OR5P2	Olfr469,Olfr470,Olfr478,Olfr482,Olfr483,Olfr484,Olfr485,Olfr486,Olfr487,Olfr488,Olfr490,Olfr492,Olfr493,Olfr494,Olfr495,Olfr497,Olfr498,Olfr502,Olfr506,Olfr507,Olfr510
CREBBP	Crebbp
PNN	Pnn
ATP6V0E1	Atp6v0e
ATP6V0E2	Atp6v0e2
RNF128	Rnf128
CFP	Cfp
AAAS	Aaas
HAMP	Hamp,Hamp2
LTBP1	Ltbp1
SIDT1	Sidt1
SERPINA10	Serpina10
SIDT2	Sidt2
RP11104H1512	RP23-422L16.28
PISRT1	Gm27919
RNU61109P	Gm22867,Gm24875,Gm25217
LA16C380H53	1520401A03Rik
RNU6177P	Gm23038
SIX4	Six4
RNU6989P	Gm24480
SIX6	Six6
PSMB10	Psmb10
PM20D1	Pm20d1
MR1	Mr1
SIX2	Six2
SIX3	Six3
CNPY4	Cnpy4
CNPY3	Cnpy3
CNPY2	Cnpy2
CNPY1	Cnpy1
NODAL	Nodal
ANKRD30BL	Ankrd26
KNDC1	Kndc1
HMG20A	Hmg20a
HMG20B	Hmg20b
PHOSPHO2	Phospho2
AAGAB	Aagab
RNU6565P	Gm24962
PHOSPHO1	Phospho1
SLC7A6OS	Slc7a6os
SYNJ2	Synj2
TRIM54	Trim54
RNU6ATAC42P	Gm23226
AP00030412	Atp5o
MRO	Mro
ZFP82	Zfp82
NLRP10	Nlrp10
CHFR	Chfr
RUSC1	Rusc1
RTBDN	Rtbdn
SMDT1	Smdt1
GPR75	Gpr75
SYPL2	Sypl2
RFPL4AL1	Rfpl4
NPR3	Npr3
RFX4	Rfx4
RFX5	Rfx5
APP	App
RFX7	Rfx7
NRXN3	Nrxn3
NRXN2	Nrxn2
NRXN1	Nrxn1
RFX3	Rfx3
YDJC	Ydjc
IBA57	Iba57
RNU6ATAC39P	Gm22534
APC	Apc
ABCE1	Abce1
UQCRC2	Uqcrc2
XPNPEP1	Xpnpep1
XPNPEP2	Xpnpep2
TIGD4	Tigd4
SLC4A2	Slc4a2
GGCX	Ggcx
PAPLN	Papln
ADNP	Adnp
TMEM218	Tmem218
RP13210D154	Etd
KHDRBS1	Khdrbs1
KHDRBS3	Khdrbs3
GGCT	Ggct
LRFN3	Lrfn3
ZNF395	Zfp395
RNU61147P	Gm22950
TBL1Y	Tbl1x
LHCGR	Lhcgr
OR1Q1	Olfr357
TMEM127	Tmem127
INF2	Inf2
TRPA1	Trpa1
VPS37B	Vps37b
MKRN2OS	Mkrn2os
UQCRHL	Uqcrh
ZBED4	Zbed4
RNU6929P	Gm23794,Gm25629
XXBACBPG116M517	Cfb,Gm20547
RP1165B72	Lacc1
DPYSL4	Dpysl4
DPYSL5	Dpysl5
DPYSL2	Dpysl2
DPYSL3	Dpysl3
IGKV37	Igkv18-36
MRGPRE	Mrgpre
IGFBP2	Igfbp2
IGFBP3	Igfbp3
LRFN1	Lrfn1
IGFBP1	Igfbp1
BOP1	Bop1
IGFBP7	Igfbp7
IGFBP4	Igfbp4
IGFBP5	Igfbp5
SKP2	Skp2
CYP2R1	Cyp2r1
CKLF	Cklf
RP11545J161	Slco1b2
GJA1	Gja1
GJA3	Gja3
APLNR	Aplnr
GJA5	Gja5
RUNX3	Runx3
GJA8	Gja8
CYP8B1	Cyp8b1
RNA5SP207	n-R5s64
STMN1	Stmn1
S1PR2	S1pr2
KDM3B	Kdm3b
ZNF117	Zfp457,Zfp458,Zfp595,Zfp65,Zfp759
KDM3A	Kdm3a
ZNF112	Zfp112
S1PR1	S1pr1
PPP6R3	Ppp6r3
TMC4	Tmc4
MYO3A	Myo3a
TMC6	Tmc6
KIAA1958	E130308A19Rik
APIP	Apip
TMC1	Tmc1
GPR15	Gpr15
TMC3	Tmc3
PKLR	Pklr
TECRL	Tecrl
EIF2B4	Eif2b4
EIF2B5	Eif2b5
EIF2B2	Eif2b2
EIF2B3	Eif2b3
EIF2B1	Eif2b1
PRKAR2A	Prkar2a
PRKAR2B	Prkar2b
MAGT1	Magt1
TXNIP	Txnip
SLC36A4	Slc36a4
C2ORF50	2410004P03Rik
TMEM200B	Tmem200b
RNU61096P	Gm25851
C2ORF57	1700019O17Rik
C2ORF54	2310007B03Rik
MLF1	Mlf1
QPRT	Qprt
IFT140	Ift140
MLF2	Mlf2
TMEM14C	Tmem14c
TMEM14B	Tmem14c
TMEM14A	Tmem14a
FANCF	Fancf
MECOM	Mecom
ITGA2B	Itga2b
RSPH1	Rsph1
IFI16	Ifi204,Ifi205,Mnda,Mndal
STON1GTF2A1L	Ston1
RAB4BEGLN2	Rab4b
AC0099501	AC125149.4,AC125149.5,AC132444.3,AC133103.4,AC133103.5,AC168977.1,Sp110
TTC1	Ttc1
LURAP1	Lurap1
TPBGL	Tpbgl
PNISR	Pnisr
MYT1L	Myt1l
PPANP2RY11	Ppan
RNU61156P	Gm26487
CFHR2	Cfh,Cfhr1,Cfhr2,Gm4788
PHACTR4	Phactr4
CLIC4	Clic4
CFHR1	Cfh,Cfhr1,Cfhr2,Gm4788
NLGN2	Nlgn2
CLIC3	Clic3
LRSAM1	Lrsam1
CLIC1	Clic1
RIT2	Rit2
TMEM147	Tmem147
ASGR1	Asgr1
ASGR2	Asgr2
SLC12A8	Slc12a8
FOXL2	Foxl2
RIT1	Rit1
TMEM141	Tmem141
FOXL1	Foxl1
SF1	Sf1
FXYD6FXYD2	Fxyd2
C21ORF140	4930563D23Rik
API5	Api5
SUGP2	Sugp2
RTKN2	Rtkn2
RNF180	Rnf180
P2RX7	P2rx7
SOWAHA	Sowaha
SECISBP2L	Secisbp2l
RNU64P	Gm25583
SOWAHD	Sowahd
HAS2	Has2
OR5AN1	Olfr1431,Olfr1434,Olfr1436,Olfr1437,Olfr235,Olfr262
FAM32A	Fam32a
HAS3	Has3
KIAA1191	4833439L19Rik
FER1L6	Fer1l6
VAMP3	Vamp3
VMP1	Vmp1
FER1L5	Fer1l5
TCEAL6	Tceal3,Tceal5,Tceal6
RNU61021P	Gm24121
DENND4C	Dennd4c
VWA1	Vwa1
PRPH2	Prph2
ZMAT3	Zmat3
ZMAT2	Zmat2
ZMAT5	Zmat5
ZMAT4	Zmat4
MYBL1	Mybl1
NR1D1	Nr1d1
NR1D2	Nr1d2
CASP9	Casp9
ITGB1BP1	Itgb1bp1
ITGB1BP2	Itgb1bp2
Z833131	Fgf13
ZNF7	Zfp7
ZNF2	Zfp661
ZNF3	Zfp113
CTCFL	Ctcfl
SNX19	Snx19
RNU411P	Gm25284
RP1140A72	Gm13420
ZNF8	Zfp128
MLANA	Mlana
RP11603J249	Pa2g4
RNU444P	Gm24695
UFSP2	Ufsp2
SYNDIG1	Syndig1
OGFR	Ogfr
TMEM41B	Tmem41b
CDC5L	Cdc5l
NEMP1	Nemp1
RAC3	Rac3
NEMP2	Nemp2
SBDS	Sbds
SBK2	Sbk2
CPLX2	Cplx2
CPLX3	Cplx3
CPLX1	Cplx1
AP2A1	Ap2a1
CPLX4	Cplx4
AP2A2	Ap2a2
NIM1K	Nim1k
CADPS	Cadps
MRPS18C	Mrps18c
PBX2	Pbx2
PBX3	Pbx3
PBX1	Pbx1
RN7SKP223	Gm22948
AIRE	Aire
TMOD2	Tmod2
MFSD11	Mfsd11
NSUN2	Nsun2
NSUN5	Nsun5
NSUN4	Nsun4
NSUN7	Nsun7
NSUN6	Nsun6
PRAMEF4	Pramef12
PRAMEF5	Pramef12
PRAMEF6	Pramef12
PRAMEF7	Pramef12
FAM71F1	Fam71f1
BIVMERCC5	Ercc5
PRAMEF2	Pramef12
FAM71F2	Fam71f2
PTCH2	Ptch2
PTCH1	Ptch1
PCDHGA2	Pcdhga2
PRAMEF9	Pramef12
PAGR1	Gm42742,Pagr1a,Pagr1b
RNU61212P	Gm26255
KMT5B	Suv420h1
KMT5C	Suv420h2
RAD9A	Rad9a
KMT5A	Kmt5a
ERGIC2	Ergic2
ERGIC3	Ergic3
CDR2L	Cdr2l
ERGIC1	Ergic1
RNU6939P	Gm25054
CLEC14A	Clec14a
MAP3K2	Map3k2
B3GAT3	B3gat3
B3GAT2	B3gat2
B3GAT1	B3gat1
USMG5	Usmg5
SRSF11	Srsf11
CPPED1	Cpped1
UHRF1BP1	Uhrf1bp1
CALM3	Calm1,Calm3
SPG21	Spg21
CALM1	Calm1,Calm3
GSDMA	Gsdma,Gsdma2,Gsdma3
GSDMC	Gsdmc,Gsdmc2,Gsdmc3,Gsdmc4
GSDMD	Gsdmd
HRH4	Hrh4
UPK1B	Upk1b
DLGAP2	Dlgap2
DLGAP3	Dlgap3
DLGAP1	Dlgap1
DLGAP4	Dlgap4
C19ORF18	2900092C05Rik
BRDT	Brdt
HRH2	Hrh2
MBNL2	Mbnl2
MBNL3	Mbnl3
SRSF10	Srsf10
C19ORF12	1600014C10Rik
A1BG	A1bg
SEMA7A	Sema7a
CDX2	Cdx2
OIP5	Oip5
CLCN3	Clcn3
CLCN2	Clcn2
CLCN1	Clcn1
HRH1	Hrh1
CLCN7	Clcn7
CLCN6	Clcn6
CLCN5	Clcn5
AL5134121	Kdm4c
FBXL19	Fbxl19
BRD8	Brd8
BRD9	Brd9
RNA5S10	n-R5s149
BRD4	Brd4
BRD7	Brd7
BRD1	Brd1
BRD2	Brd2
BRD3	Brd3
DNAJA2	Dnaja2
DNAJA3	Dnaja3
DNAJA1	Dnaja1
RP4777O233	Ggct
DNAJA4	Dnaja4
GLG1	Glg1
PTPN13	Ptpn13
PTPN12	Ptpn12
PTPN11	Ptpn11
CLMP	Clmp
MYCBP	Mycbp
PTPN14	Ptpn14
ZNF787	Zfp787
C7ORF43	BC037034
GALR1	Galr1
SETD1B	Setd1b
LYAR	Lyar
C7ORF49	3110062M04Rik
PCDH20	Pcdh20
CH25H	Ch25h
CSF2RB	Csf2rb,Csf2rb2
MRPL24	Mrpl24
MRPL27	Mrpl27
CSF2RA	Csf2ra
DMD	Dmd
LYRM5	Lyrm5
MRPL23	Mrpl23
MRPL22	Mrpl22
GAB4	Gab2
LYRM4	Lyrm4
GAB2	Gab2
GAB3	Gab3
RNU6625P	Gm24477,Gm25889
GAB1	Gab1
HABP4	Habp4
DMRTB1	Dmrtb1
SNORA81	Gm22519,Gm26040,Snora81
ZNF853	Zfp853
LAG3	Lag3
HABP2	Habp2
NDRG1	Ndrg1
NDRG2	Ndrg2
NDRG3	Ndrg3
NDRG4	Ndrg4
TBC1D9	Tbc1d9
RNU6504P	Gm25364
ZSCAN2	Zscan2
SRSF5	Srsf5
SRSF4	Srsf4
PRAP1	Prap1
SRSF6	Srsf6
SRSF1	Srsf1
CHD1L	Chd1l
SRSF3	Srsf3
HOXA6	Hoxa6
USP17L2	Usp17la,Usp17lb,Usp17lc,Usp17ld,Usp17le
MZB1	Mzb1
SRSF9	Srsf9
HOXA5	Hoxa5
DNAJB13	Dnajb13
DNAJB12	Dnajb12
DNAJB11	Dnajb11
HOXA4	Hoxa4
TUSC5	Tusc5
MSMB	Msmb
C6ORF25	G6b
DNAJB14	Dnajb14
RNF138	Rnf138
HOXA3	Hoxa3
HOXA2	Hoxa2
CISD2	Cisd2
CISD3	Cisd3
CISD1	Cisd1
CLNS1A	Clns1a
HOXA1	Hoxa1
USP17L1	Usp17la,Usp17lb,Usp17lc,Usp17ld,Usp17le
R3HDML	R3hdml
TSHZ2	Tshz2
TSHZ3	Tshz3
EIF4E1B	Eif4e1b
GID8	Gid8
MRC2	Mrc2
FOXS1	Foxs1
VILL	Vill
IGLL1	Iglc1,Iglc4,Igll1
ZNF583	Zfp583
C14ORF159	9030617O03Rik
TIPARP	Tiparp
HAPLN4	Hapln4
THSD1	Thsd1
SGK494	BC030499
RNU61177P	Gm25147
ASUN	Asun
COL4A6	Col4a6
IGLL5	Iglc1,Iglc4,Igll1
LSM12	Lsm12
PSD	Psd
UXS1	Uxs1
CAMKK2	Camkk2
CAMKK1	Camkk1
MYDGF	Mydgf
HOXA9	Hoxa9
RN7SL648P	Gm27853
COL4A3	Col4a3
OR8U1	Olfr52
LPAR5	Lpar5
ZP2	Zp2
MTRF1L	Mtrf1l
MYO1H	Myo1h
MYO1G	Myo1g
MYO1F	Myo1f
MYO1E	Myo1e
MYO1D	Myo1d
MYO1C	Myo1c
MYO1B	Myo1b
MYO1A	Myo1a
ZBED8	Zbed5
GRN	Grn
MTFP1	Mtfp1
LCN6	Lcn6
MTHFD1L	Mthfd1l
CHMP3	Chmp3
RPL36AL	Gm6525
KIAA0391	1110008L16Rik
DENND6B	Dennd6b
CHMP6	Chmp6
BCR	Bcr
DENND6A	Dennd6a
OR52N4	Olfr659
OR52N5	Olfr669
OR52N2	Olfr666,Olfr668
CTPS2	Ctps2
CTPS1	Ctps
LGALSL	Gm5065,Lgalsl
SGO2	Sgol2a,Sgol2b
SULT6B1	Sult6b1
LY6G6C	Ly6g6c
HOXA13	Hoxa13
LY6G6E	Ly6g6e
HOXA11	Hoxa11
HOXA10	Hoxa10
RNU61077P	Gm23207
RNU6753P	Gm24498
KCNJ3	Kcnj3
GTF2I	Gtf2i
FAM188A	Fam188a
FAM160B1	Fam160b1
FAM160B2	Fam160b2
ATAT1	Atat1
USP17L5	Usp17la,Usp17lb,Usp17lc,Usp17ld,Usp17le
RAD54B	Rad54b
GALNTL5	Galntl5
SRC	Src
NEMF	Nemf
GALNTL6	Galntl6
SRF	Srf
LSM11	Lsm11
ZNF322	Zfp322a
FAM214A	Fam214a
FAM214B	Fam214b
SRI	Sri
SUN1	Sun1
SRL	Srl
SRM	Srm
SRR	Srr
LGALS9	Lgals9
LGALS8	Lgals8
SF3B3	Sf3b3
LGALS3	Lgals3
LGALS2	Lgals2
LGALS1	Lgals1
SPECC1	Specc1
LGALS7	Lgals7
CFAP36	Cfap36
LGALS4	Lgals4
RP11407P152	Aqp7
NMU	Nmu
RNF114	Rnf114
AKIRIN2	Akirin2
AKIRIN1	Akirin1
EIF2AK1	Eif2ak1
SOCS2	Gm9847,Socs2
EIF2AK3	Eif2ak3
EIF2AK2	Eif2ak2
TDG	Tdg
EIF2AK4	Eif2ak4
HN1	Hn1
WIPF1	Wipf1
ZCCHC4	Zcchc4
SMS	Sms
NMB	Nmb
EREG	Ereg
MYO19	Myo19
SNORD15B	Snord15b
AVPI1	Avpi1
MYO16	Myo16
CTC360G58	Sars2
TRNT1	Trnt1
ASAP1	Asap1
ASAP2	Asap2
ASAP3	Asap3
OCRL	Ocrl
RNF122	Rnf122
RNU6338P	Gm24491
NAP1L1	Nap1l1
ATG101	Atg101
PLAUR	Plaur
KRT28	Krt28
HILPDA	Hilpda
XXCOSLUCA115	Cyb561d2
LOXHD1	Loxhd1
LRRC26	Lrrc26
KIAA1524	C330027C09Rik
LRRC24	Lrrc24
KIAA1522	C77080
MPDU1	Mpdu1
KIAA1033	A230046K03Rik
LOX	Lox
LPGAT1	Lpgat1
SEMA6D	Sema6d
LRRC29	Lrrc29
LRRC28	Lrrc28
TIMM17B	Timm17b
GCNT4	Gcnt4
GCNT7	Gcnt7
TIMM17A	Timm17a
GCNT1	Gcnt1
GCNT3	Gcnt3
GCNT2	Gcnt2
TBC1D2	Tbc1d2
TBX3	Tbx3
NCOA6	Ncoa6
LPCAT4	Lpcat4
RNA5SP22	n-R5s213
LPCAT2	Lpcat2
LPCAT3	Lpcat3
RP11108O108	Alg9
LPCAT1	Lpcat1
SNOZ40	Gm24357
KRT20	Krt20
MID1IP1	Mid1ip1
VHL	Vhl
PIGA	Piga
PIGB	Pigb
PIGC	Pigc
PIGF	Pigf
CALCRL	Calcrl
PIGH	Pigh
PIGK	Pigk
PIGL	Pigl
PIGM	Pigm
PIGN	Pign
PIGO	Pigo
PIGP	Pigp
PIGQ	Pigq
PIGR	Pigr
PIGS	Pigs
ILKAP	Ilkap
PIGU	Pigu
PIGV	Pigv
NCDN	Ncdn
PIGX	Pigx
PIGY	Pigyl
PIGZ	Pigz
KRT25	Krt25
TMEM80	Tmem80
NDFIP2	Ndfip2
JCHAIN	Jchain
ANKLE1	Ankle1
CCDC179	1700015G11Rik
TAX1BP3	Tax1bp3
ALPP	Akp3,Alpi,Alppl2
RHPN1	Rhpn1
INPPL1	Inppl1
OLR1	Olr1
RHPN2	Rhpn2
CCDC170	Ccdc170
CCDC171	Ccdc171
CCDC172	Ccdc172
CCDC173	Ccdc173
CCDC174	Ccdc174
CCDC175	Ccdc175
CCDC177	Ccdc177
PDK1	Pdk1
SUN2	Sun2
PDK3	Pdk3
PDK2	Pdk2
EBP	Ebp
PDK4	Pdk4
SUN3	Sun3
LNPEP	Lnpep
ALPI	Akp3,Alpi,Alppl2
MFAP2	Mfap2
SEC61A1	Sec61a1
SEC61A2	Sec61a2
ALPL	Alpl
SPAG4	Spag4
PTGS2	Ptgs2
PECR	Pecr
DDHD2	Ddhd2
PPP2R3B	Ppp2r3d
MGST3	Mgst3
TRAV262	Trav21-dv12
OGFRL1	Ogfrl1
PUF60	Puf60
ZFAND4	Zfand4
ST20MTHFS	Mthfs,Mthfsl
RN7SKP158	Gm22668
MYO5B	Myo5b
RN7SKP157	Gm22143
OR11G2	Olfr744
RN7SKP155	Gm23776
RN7SKP150	Gm24545
PLVAP	Plvap
CEP128	Cep128
SLC39A10	Slc39a10
SLC39A11	Slc39a11
SLC39A14	Slc39a14
SCN2B	Scn2b
CEP120	Cep120
EIF1AX	Eif1ax
NTRK1	Ntrk1
NTRK2	Ntrk2
CEP126	Cep126
ARHGAP23	Arhgap23
ARHGAP22	Arhgap22
ARHGAP21	Arhgap21
ARHGAP20	Arhgap20
ARHGAP27	Arhgap27
ARHGAP26	Arhgap26
ARHGAP25	Arhgap25
EVI5	Evi5
NARFL	Narfl
ARHGAP29	Arhgap29
ARHGAP28	Arhgap28
PART1_2	Gm27572
PART1_1	Gm28016
PCGF1	Pcgf1
SYDE1	Syde1
DDIT3	Ddit3
DDIT4	Ddit4
NFKBIL1	Nfkbil1
RNU636P	Gm26427
SLCO4C1	Slco4c1
RNU6780P	Gm24913
RBFA	Rbfa
COL19A1	Col19a1
RIIAD1	Riiad1
NKRF	Nkrf
PCGF2	Pcgf2
SMAD2	Smad2
MYSM1	Mysm1
PPIB	Ppib
ATG2A	Atg2a
ATG2B	Atg2b
BMP7	Bmp7
BMP6	Bmp6
BMP5	Bmp5
BMP4	Bmp4
BMP3	Bmp3
BMP2	Bmp2
BMP1	Bmp1
GPR4	Gpr4
DR1	Dr1
GOLGA8T	Golga2
TNMD	Tnmd
GOLGA8Q	Golga2
RNU699P	Gm22867,Gm24875,Gm25217
GOLGA8S	Golga2
FEM1C	Fem1c
GOLGA8M	Golga2
GOLGA8O	Golga2
GOLGA8N	Golga2
ASF1B	Asf1b
GOLGA8K	Golga2
GOLGA8J	Golga2
NDUFAF1	Ndufaf1
GOLGA8G	Golga2
FEM1A	4931440F15Rik,Fem1a
GOLGA8A	Golga2
PCA3_2	Gm27970
GOLGA8B	Golga2
MARCH11	March11
MARCH10	March10
C14ORF93	4931414P19Rik
RASSF1	Rassf1
PTOV1	Ptov1
RASSF3	Rassf3
NDUFAF2	Ndufaf2
RASSF5	Rassf5
RASSF4	Rassf4
RASSF7	Rassf7
RASSF6	Rassf6
VMO1	Vmo1
MCOLN2	Mcoln2
TMPRSS11A	Tmprss11a
SPRY2	Spry2
RSAD2	Rsad2
RSAD1	Rsad1
LIAS	Lias
ATP5C1	Atp5c1
NFS1	Nfs1
CHD3	Chd3
CHD2	Chd2
CHD5	Chd5
CHD4	Chd4
CHD7	Chd7
CHD6	Chd6
CHD9	Chd9
CHD8	Chd8
PCDH8	Pcdh8
SGCA	Sgca
CAP1	Cap1
CAP2	Cap2
RNU6639P	Gm26143
NPC2	Npc2
NPC1	Npc1
SKIV2L	Skiv2l
SNORD11	Snord11
CH17296N191	Cntnap3
RNU6248P	Gm26439
REPIN1	Repin1
TTC4	Ttc4
PRKCB	Prkcb
RAB3GAP2	Rab3gap2
IL4R	Il4ra
BHLHA15	Bhlha15
PIKFYVE	Pikfyve
PRKCE	Prkce
TTC9	Ttc9
TTC8	Ttc8
PRKCD	Prkcd
TACR2	Tacr2
DYNC1LI1	Dync1li1
DYNC1LI2	Dync1li2
